essay_id_comp,gender,y_true,y_pred_tfidf_ols_cv
7F220FD6CACF,M,2.0,2.0765310896521783
B3FE48815543,F,6.0,5.624537155298469
B6428F6EB5F3,F,3.0,3.663050280292999
5D4E78CE6D5F,F,4.0,3.348181616187527
EA48C80121AD,F,3.0,2.019632018098444
CD8AAEA704AE,M,2.0,2.037428623123751
8119D80E030F,M,3.0,3.4783593065417078
73E31A7D5720,F,1.0,2.046169949787159
56CA92EE1B0A,M,3.0,2.6626601085093786
6C09B4AA6A77,M,3.0,3.142194639897156
49CC4EA5F3AF,F,4.0,2.838327316112237
4A8383F42E69,F,2.0,2.413785265830656
3B59052B8DAF,M,2.0,3.1053737622368383
3442D7D6F267,M,4.0,3.5012166771760147
A7FE0387BF32,M,2.0,1.5607293699696216
0F6BC58DCBE0,M,2.0,2.5831796656178363
2FC787262DE4,F,2.0,1.430745381579032
068076E24085,F,3.0,2.8017728308527095
B640319E66B2,M,1.0,1.1982178595165456
F983201E8CB1,F,2.0,1.539489671285989
4E236FFFBC3A,F,3.0,3.186564719388422
E2A67895BF3F,F,2.0,2.530015939170629
E7062A9A85AD,M,2.0,1.886653751192085
396A37B6D921,F,1.0,1.6223295835957583
E1396D3FA930,F,3.0,2.8480538244629208
12F6CA9D6104,F,3.0,2.480888368506109
7E37567419F5,M,2.0,1.6458803614405866
9F3B64C57D04,M,2.0,2.5226281725372695
E10D5E79B0A0,F,4.0,4.920981342979655
2F5D866B2C48,F,4.0,3.1742989076750034
9F9F729FA854,F,3.0,3.103306390438623
1613BD216385,F,2.0,1.6606943987266813
1807B25C64DB,F,4.0,4.067743165779589
2A906C1535A0,M,3.0,3.8466441152591244
6A0FADF28A04,F,2.0,2.541575694305031
42CD122E8324,F,3.0,3.255014471017599
3ADC8338A9B8,F,5.0,3.510998584718257
923FDA1457EE,M,4.0,3.517275572274459
ABB4C6E07E71,M,5.0,3.6760040531957934
1A6AB3B03A92,M,2.0,1.443429940830457
56A21776B470,M,3.0,2.7930618117376214
E151FC867457,M,2.0,2.45835883553749
69C14FD07D1E,F,2.0,2.1251471000910214
6D56A7D16F96,F,2.0,2.227132254247776
416154D38103,F,6.0,5.7908716498104305
0C24337CD49E,F,1.0,1.410530850612646
95D641A74BF1,M,3.0,3.1236795956782095
A2062CD12236,M,2.0,2.5849652186691836
2676A4459B59,M,4.0,2.6927456035579476
5341BDD4026A,F,3.0,2.1437258779593207
FBABC3FB451D,M,3.0,3.663613229923237
4A78B7E0CD23,M,5.0,4.440116895479999
B93581E854BD,M,2.0,1.5820824633014847
6D7E6399624E,F,2.0,2.514298577654966
730D11B13BA1,M,3.0,2.949079981210126
B3C2E6274311,M,2.0,1.9235114477637565
9DB0CD72C72A,F,5.0,5.070373658329254
547FAEEA4126,F,3.0,2.6025036155287804
83D3DB30ED2D,F,3.0,3.3991382067286997
2C0247A6398B,F,3.0,2.4954517503687685
315B09492FB4,M,2.0,2.1417496797107645
49FAAE286911,M,2.0,2.1808410404408365
9638A0515968,M,3.0,3.0999450782913036
7D0DC6F08EB2,F,3.0,2.9459034936769237
6CCD1AE680E2,M,2.0,2.257417608306357
F048B3381F8C,M,2.0,3.118361285621087
EFE5284CED33,M,2.0,1.9180215883873923
43E8315FA921,M,2.0,2.2721591248432143
DC5BBE514ECE,M,3.0,2.9742048393815983
4C711F8D8B7E,M,3.0,3.24221212320432
FD4BFFA3443A,M,4.0,3.4767659547094296
323F31110886,M,3.0,2.9962074538940944
8F2DE1AB0229,F,2.0,2.1973914009255124
FF53FACA31BF,M,2.0,2.6636647264198565
37B8AD6E4D9B,M,1.0,1.6961950035737037
55792E29E3A0,M,1.0,1.6513121028853779
BB7C74DD634F,M,2.0,2.929623481213964
5E98AE1FEA8E,F,2.0,1.783249800922979
949F1FCAE7A6,M,2.0,2.0962865774761563
9788FF5FBA3B,M,2.0,2.5229078815720736
B1107C007404,F,5.0,4.076260378629385
2C4BB3ACA451,M,1.0,1.2693940697467254
634848B2D08C,F,4.0,3.221768110330241
0771C85FC76B,M,5.0,4.913292116800326
803A47175851,F,4.0,3.459623748491003
360FD9AE286D,M,3.0,3.2772722014716362
F4423D1F297D,F,2.0,2.929607698853759
5787997A234A,F,2.0,2.5170505605418594
B27DD0B12E19,F,3.0,2.9488585992251206
FD0934F5261D,M,2.0,1.9696204236264319
9D99F8F1CAAB,F,2.0,2.0596699832390604
A84FCF650361,F,2.0,2.1715172746056006
D836FB30A868,F,3.0,2.802995894099985
3A961F5287CD,M,3.0,4.231036494601277
2E9B5CD4716D,M,2.0,3.393751223037666
1C51F32A0689,F,4.0,4.319353432309262
F3E8A109AE05,M,3.0,3.4840109044379814
5FBF192B844B,F,2.0,2.161862961224138
